date,city,temp_max,temp_min,precip_mm,tipo
2026-04-03,Atlanta,27.5,15.9,0.0,forecast
2026-04-03,Chicago,16.5,4.0,2.5,forecast
2026-04-03,Houston,26.5,22.0,3.2,forecast
2026-04-03,Los Angeles,27.6,11.7,0.0,forecast
2026-04-03,Miami,27.0,22.3,0.0,forecast
2026-04-03,New York,17.5,5.0,0.0,forecast
2026-04-04,Atlanta,24.8,17.3,4.4,forecast
2026-04-04,Chicago,13.4,5.9,21.3,forecast
2026-04-04,Houston,27.7,20.8,7.95,forecast
2026-04-04,Los Angeles,31.2,12.3,0.0,forecast
2026-04-04,Miami,26.9,22.1,1.18,forecast
2026-04-04,New York,22.3,7.6,0.85,forecast
2026-04-05,Atlanta,20.8,14.3,8.4,forecast
2026-04-05,Chicago,10.2,3.0,0.0,forecast
2026-04-05,Houston,20.3,16.3,5.2,forecast
2026-04-05,Los Angeles,27.4,18.0,0.0,forecast
2026-04-05,Miami,25.6,23.5,6.0,forecast
2026-04-05,New York,16.8,7.8,2.4,forecast
2026-04-06,Atlanta,17.4,11.3,0.0,forecast
2026-04-06,Chicago,9.6,0.2,0.3,forecast
2026-04-06,Houston,21.0,15.4,0.0,forecast
2026-04-06,Los Angeles,26.7,17.3,0.0,forecast
2026-04-06,Miami,26.1,23.5,1.7,forecast
2026-04-06,New York,12.7,4.9,0.0,forecast
2026-04-07,Atlanta,22.2,11.4,0.0,forecast
2026-04-07,Chicago,1.3,-2.4,0.6,forecast
2026-04-07,Houston,17.4,15.0,0.0,forecast
2026-04-07,Los Angeles,25.6,17.1,0.0,forecast
2026-04-07,Miami,26.4,22.8,19.3,forecast
2026-04-07,New York,9.6,0.4,0.0,forecast
2026-04-08,Atlanta,15.3,7.8,0.0,forecast
2026-04-08,Chicago,14.7,1.6,0.0,forecast
2026-04-08,Houston,25.7,13.7,0.0,forecast
2026-04-08,Los Angeles,25.1,17.7,0.0,forecast
2026-04-08,Miami,24.9,23.2,4.0,forecast
2026-04-08,New York,5.3,-0.3,0.0,forecast
2026-04-09,Atlanta,20.3,8.1,0.0,forecast
2026-04-09,Chicago,12.8,4.6,0.7,forecast
2026-04-09,Houston,24.1,17.4,0.0,forecast
2026-04-09,Los Angeles,20.1,15.7,2.8,forecast
2026-04-09,Miami,27.9,24.0,3.2,forecast
2026-04-09,New York,12.1,3.9,0.0,forecast
2026-04-10,Atlanta,18.5,13.2,0.0,forecast
2026-04-10,Chicago,12.0,4.5,0.2,forecast
2026-04-10,Houston,26.3,19.5,0.0,forecast
2026-04-10,Los Angeles,18.4,13.8,1.1,forecast
2026-04-10,Miami,29.5,22.8,0.0,forecast
2026-04-10,New York,15.2,9.0,0.0,forecast
2026-04-11,Atlanta,28.2,10.8,0.0,forecast
2026-04-11,Chicago,10.9,1.1,0.6,forecast
2026-04-11,Houston,25.1,20.4,0.0,forecast
2026-04-11,Los Angeles,21.7,13.8,0.0,forecast
2026-04-11,Miami,25.8,20.0,0.0,forecast
2026-04-11,New York,17.2,8.0,0.0,forecast
2026-04-12,Atlanta,29.2,14.9,0.0,forecast
2026-04-12,Chicago,23.2,9.2,1.4,forecast
2026-04-12,Houston,26.0,20.1,0.0,forecast
2026-04-12,Los Angeles,17.2,12.3,13.0,forecast
2026-04-12,Miami,25.6,19.8,5.6,forecast
2026-04-12,New York,12.4,2.8,0.0,forecast
2026-04-13,Atlanta,27.6,15.6,0.0,forecast
2026-04-13,Chicago,22.9,14.7,4.25,forecast
2026-04-13,Houston,28.3,20.9,0.0,forecast
2026-04-13,Los Angeles,18.8,10.2,0.2,forecast
2026-04-13,Miami,25.5,18.7,0.0,forecast
2026-04-13,New York,23.4,7.3,0.0,forecast
2026-04-14,Atlanta,29.1,16.5,0.0,forecast
2026-04-14,Chicago,23.9,17.3,9.8,forecast
2026-04-14,Houston,30.4,20.8,0.1,forecast
2026-04-14,Los Angeles,21.9,14.5,0.0,forecast
2026-04-14,Miami,25.5,23.5,0.4,forecast
2026-04-14,New York,25.9,15.3,4.7,forecast
2026-04-15,Atlanta,30.2,17.3,0.0,forecast
2026-04-15,Chicago,20.8,15.2,12.0,forecast
2026-04-15,Houston,28.3,20.9,0.1,forecast
2026-04-15,Los Angeles,22.8,15.1,0.0,forecast
2026-04-15,Miami,25.5,23.0,0.2,forecast
2026-04-15,New York,27.8,17.3,0.5,forecast
2026-04-16,Atlanta,28.7,18.6,0.0,forecast
2026-04-16,Chicago,22.6,11.7,0.3,forecast
2026-04-16,Houston,30.0,21.9,0.0,forecast
2026-04-16,Los Angeles,20.0,15.8,0.0,forecast
2026-04-16,Miami,26.5,23.8,0.0,forecast
2026-04-16,New York,27.6,19.6,0.0,forecast
2026-04-17,Atlanta,30.2,19.2,0.0,forecast
2026-04-17,Chicago,27.1,11.8,6.8,forecast
2026-04-17,Houston,31.0,21.6,0.0,forecast
2026-04-17,Los Angeles,23.0,15.8,0.0,forecast
2026-04-17,Miami,26.5,24.1,0.0,forecast
2026-04-17,New York,25.9,18.9,0.0,forecast
2026-04-18,Atlanta,32.1,20.0,0.0,forecast
2026-04-18,Chicago,15.3,4.6,7.9,forecast
2026-04-18,Houston,31.9,22.3,0.0,forecast
2026-04-18,Los Angeles,23.8,16.5,0.0,forecast
2026-04-18,Miami,26.5,24.1,0.0,forecast
2026-04-18,New York,26.6,17.5,0.0,forecast
2026-04-19,Atlanta,30.9,19.6,0.0,forecast
2026-04-19,Chicago,6.7,5.0,0.0,forecast
2026-04-19,Houston,31.7,22.7,0.3,forecast
2026-04-19,Los Angeles,24.5,16.3,0.0,forecast
2026-04-19,Miami,26.6,24.1,0.0,forecast
2026-04-19,New York,19.9,10.6,1.2,forecast
2026-04-20,Atlanta,25.3,20.5,0.0,forecast
2026-04-20,Chicago,9.5,5.0,0.0,forecast
2026-04-20,Houston,27.8,21.4,2.1,forecast
2026-04-20,Los Angeles,25.0,17.1,0.0,forecast
2026-04-20,Miami,27.1,24.5,0.0,forecast
2026-04-20,New York,13.4,10.2,0.0,forecast
2026-04-21,Atlanta,25.2,17.9,0.0,forecast
2026-04-21,Chicago,18.8,7.3,0.7,forecast
2026-04-21,Houston,30.9,21.7,0.0,forecast
2026-04-21,Los Angeles,25.0,16.8,0.0,forecast
2026-04-21,Miami,26.9,24.5,0.0,forecast
2026-04-21,New York,17.5,8.9,0.0,forecast
2026-04-22,Atlanta,29.2,17.5,0.0,forecast
2026-04-22,Chicago,23.3,10.4,2.9,forecast
2026-04-22,Houston,32.5,21.4,0.0,forecast
2026-04-22,Los Angeles,23.8,17.0,0.0,forecast
2026-04-22,Miami,26.5,24.4,0.0,forecast
2026-04-22,New York,14.8,9.9,2.9,forecast
2026-04-23,Atlanta,32.4,20.0,0.0,forecast
2026-04-23,Chicago,17.0,9.1,0.1,forecast
2026-04-23,Houston,32.9,23.1,0.0,forecast
2026-04-23,Los Angeles,22.9,16.8,0.0,forecast
2026-04-23,Miami,26.7,24.2,0.0,forecast
2026-04-23,New York,22.0,14.1,4.6,forecast
2026-04-24,Atlanta,31.5,20.6,0.0,forecast
2026-04-24,Chicago,8.5,3.7,0.8,forecast
2026-04-24,Houston,31.8,20.9,1.1,forecast
2026-04-24,Los Angeles,26.3,16.4,0.0,forecast
2026-04-24,Miami,27.0,24.6,0.3,forecast
2026-04-24,New York,22.8,16.3,1.2,forecast
