date,zona_key,zona,lat,lon,pct_prod,lluvia_mm,tmax,tmin,lluvia_3d,lluvia_7d,lluvia_14d,dias_lluvia_consec,evento_lluvia
2018-01-01,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,2.15,18.42,9.05,2.15,2.15,2.15,0,0
2018-01-02,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.89,15.72,8.97,3.04,3.04,3.04,0,0
2018-01-03,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.69,11.84,7.49,3.73,3.73,3.73,0,0
2018-01-04,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.34,15.42,7.98,1.92,4.07,4.07,0,0
2018-01-05,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.25,17.5,10.93,1.2799999999999998,4.32,4.32,0,0
2018-01-06,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.14,19.68,14.21,0.73,4.46,4.46,0,0
2018-01-07,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.11,23.5,14.87,0.5,4.57,4.57,0,0
2018-01-08,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.07,22.78,14.62,0.32,2.49,4.64,0,0
2018-01-09,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,21.69,11.97,0.18,1.5999999999999999,4.64,0,0
2018-01-10,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,25.09,13.38,0.07,0.91,4.64,0,0
2018-01-11,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,27.92,15.45,0.0,0.5700000000000001,4.64,0,0
2018-01-12,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.77,17.69,9.88,0.77,1.09,5.41,0,0
2018-01-13,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,1.34,17.54,9.47,2.1100000000000003,2.29,6.75,0,0
2018-01-14,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,3.19,14.02,12.14,5.3,5.370000000000001,9.94,0,0
2018-01-15,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.33,19.06,12.61,4.859999999999999,5.63,8.12,0,0
2018-01-16,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,9.7,18.76,13.25,13.219999999999999,15.329999999999998,16.93,1,0
2018-01-17,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,5.61,10.28,5.96,15.64,20.939999999999998,21.849999999999998,2,0
2018-01-18,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.96,12.31,6.33,16.27,21.9,22.47,0,0
2018-01-19,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.61,19.52,11.4,7.180000000000001,21.74,22.83,0,0
2018-01-20,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,2.65,23.74,14.07,4.22,23.049999999999997,25.340000000000003,0,0
2018-01-21,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.04,26.27,15.3,3.3,19.9,25.27,0,0
2018-01-22,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,3.54,25.94,16.79,6.23,23.11,28.74,0,0
2018-01-23,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,3.63,20.18,13.3,7.21,17.04,32.37,0,0
2018-01-24,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,12.16,17.25,12.59,19.33,23.59,44.53,1,0
2018-01-25,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,8.8,16.55,11.13,24.590000000000003,31.43,53.33,2,0
2018-01-26,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,2.5,21.38,13.39,23.46,33.32,55.06,0,0
2018-01-27,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,1.82,22.49,16.37,13.120000000000001,32.49,55.54,0,0
2018-01-28,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,36.23,20.6,17.05,40.55,68.68,88.58,1,1
2018-01-29,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,38.98,18.16,12.9,77.03,104.11999999999999,127.22999999999999,2,1
2018-01-30,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.21,12.92,10.62,75.42,100.69999999999999,117.74,0,0
2018-01-31,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,19.03,9.48,39.19,88.53999999999999,112.13,0,0
2018-02-01,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,23.6,14.34,0.21,79.73999999999998,111.16999999999999,0,0
2018-02-02,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.78,21.98,14.37,0.78,78.01999999999998,111.33999999999999,0,0
2018-02-03,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.34,22.0,15.03,1.12,76.53999999999999,109.03,0,0
2018-02-04,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,26.01,16.36,1.12,40.309999999999995,108.99,0,0
2018-02-05,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.01,24.81,17.43,0.35000000000000003,1.34,105.46,0,0
2018-02-06,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,24.98,15.68,0.01,1.1300000000000001,101.82999999999998,0,0
2018-02-07,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,3.6,25.05,16.76,3.61,4.73,93.27,0,0
2018-02-08,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,16.9,18.14,13.56,20.5,21.63,101.36999999999999,1,0
2018-02-09,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,3.79,20.33,13.47,24.29,24.639999999999997,102.66,0,0
2018-02-10,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.01,24.58,15.29,20.7,24.31,100.85,0,0
2018-02-11,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.05,26.92,17.34,3.85,24.36,64.67,0,0
2018-02-12,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,3.58,20.8,14.35,3.64,27.93,29.27,0,0
2018-02-13,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.86,19.51,14.1,4.49,28.79,29.919999999999998,0,0
2018-02-14,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,1.45,22.51,16.26,5.890000000000001,26.64,31.369999999999997,0,0
2018-02-15,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.13,24.81,14.38,2.44,9.870000000000001,31.5,0,0
2018-02-16,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.03,25.75,15.36,1.61,6.11,30.75,0,0
2018-02-17,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.02,24.83,15.91,0.18,6.12,30.430000000000003,0,0
2018-02-18,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.37,24.16,16.31,0.42,6.44,30.8,0,0
2018-02-19,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.04,25.94,15.95,0.43,2.9,30.830000000000002,0,0
2018-02-20,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,1.66,27.16,17.64,2.07,3.7,32.49,0,0
2018-02-21,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,1.69,27.63,19.21,3.3899999999999997,3.94,30.58,0,0
2018-02-22,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.43,25.52,18.33,3.78,4.24,14.11,0,0
2018-02-23,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.33,26.15,17.26,2.45,4.54,10.65,0,0
2018-02-24,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,27.69,17.21,0.76,4.5200000000000005,10.639999999999999,0,0
2018-02-25,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.01,28.66,18.95,0.34,4.16,10.6,0,0
2018-02-26,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.54,26.58,18.88,0.55,4.66,7.5600000000000005,0,0
2018-02-27,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.04,28.23,17.37,0.5900000000000001,3.04,6.74,0,0
2018-02-28,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,28.83,16.68,0.5800000000000001,1.35,5.29,0,0
2018-03-01,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.67,30.52,17.83,0.7100000000000001,1.5900000000000003,5.83,0,0
2018-03-02,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.03,23.76,16.77,0.7000000000000001,1.29,5.83,0,0
2018-03-03,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,26.26,17.3,0.7000000000000001,1.29,5.8100000000000005,0,0
2018-03-04,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,27.56,16.64,0.03,1.28,5.44,0,0
2018-03-05,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,0.0,28.93,17.17,0.0,0.7400000000000001,5.4,0,0
2018-03-06,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,1.81,28.89,17.71,1.81,2.5100000000000002,5.55,0,0
2018-03-07,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,28.64,20.74,16.06,30.45,31.150000000000002,32.5,1,1
2018-03-08,mtt,"Martinez de la Torre, Ver.",20.0667,-97.05,54,2.16,22.92,15.47,32.61,32.64,34.230000000000004,0,0
