date,zona_key,zona,lat,lon,pct_prod,lluvia_mm,tmax,tmin,lluvia_3d,lluvia_7d,lluvia_14d,dias_lluvia_consec,evento_lluvia
2018-01-01,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.42,18.79,8.02,0.42,0.42,0.42,0,0
2018-01-02,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.17,16.75,7.6,0.59,0.59,0.59,0,0
2018-01-03,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.5,13.72,6.53,1.0899999999999999,1.0899999999999999,1.0899999999999999,0,0
2018-01-04,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,18.06,6.46,0.67,1.0899999999999999,1.0899999999999999,0,0
2018-01-05,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,21.22,7.85,0.5,1.0899999999999999,1.0899999999999999,0,0
2018-01-06,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.14,24.28,12.55,0.14,1.23,1.23,0,0
2018-01-07,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.07,26.63,13.86,0.21000000000000002,1.3,1.3,0,0
2018-01-08,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,27.68,14.6,0.21000000000000002,0.8800000000000001,1.3,0,0
2018-01-09,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,26.62,12.87,0.07,0.71,1.3,0,0
2018-01-10,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,27.42,12.14,0.0,0.21000000000000002,1.3,0,0
2018-01-11,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,33.54,13.53,0.0,0.21000000000000002,1.3,0,0
2018-01-12,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,22.11,11.12,0.0,0.21000000000000002,1.3,0,0
2018-01-13,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,22.31,8.05,0.0,0.07,1.3,0,0
2018-01-14,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,21.41,9.98,0.0,0.0,1.3,0,0
2018-01-15,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,22.37,8.63,0.01,0.01,0.89,0,0
2018-01-16,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,8.91,19.85,4.63,8.92,8.92,9.63,1,0
2018-01-17,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,2.75,8.06,3.65,11.67,11.67,11.88,0,0
2018-01-18,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,1.32,14.38,5.46,12.98,12.99,13.200000000000001,0,0
2018-01-19,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.28,23.91,9.5,4.35,13.27,13.48,0,0
2018-01-20,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.16,25.31,12.34,1.76,13.43,13.5,0,0
2018-01-21,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,27.36,14.81,0.44000000000000006,13.43,13.43,0,0
2018-01-22,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.12,28.8,15.14,0.28,13.540000000000001,13.55,0,0
2018-01-23,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.07,23.84,13.49,0.19,4.7,13.62,0,0
2018-01-24,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.53,19.42,13.25,0.72,2.48,14.15,0,0
2018-01-25,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.39,17.5,12.94,0.99,1.55,14.54,0,0
2018-01-26,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.09,25.03,14.27,1.01,1.36,14.63,0,0
2018-01-27,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.95,28.3,14.78,1.4299999999999997,2.15,15.58,0,0
2018-01-28,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,10.67,25.61,17.68,11.709999999999999,12.82,26.25,1,0
2018-01-29,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,5.64,21.94,13.66,17.259999999999998,18.34,31.880000000000003,2,0
2018-01-30,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.04,21.21,12.23,16.349999999999998,18.31,23.009999999999998,0,0
2018-01-31,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,24.65,12.54,5.6899999999999995,17.79,20.27,0,0
2018-02-01,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,28.51,14.24,0.05,17.4,18.950000000000003,0,0
2018-02-02,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.11,24.91,15.72,0.12,17.419999999999998,18.78,0,0
2018-02-03,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,25.61,14.65,0.12000000000000001,16.48,18.63,0,0
2018-02-04,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,32.03,17.24,0.13,5.819999999999999,18.64,0,0
2018-02-05,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,29.73,18.0,0.03,0.19,18.529999999999998,0,0
2018-02-06,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.02,29.04,19.52,0.040000000000000015,0.16999999999999998,18.48,0,0
2018-02-07,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,3.21,29.09,14.41,3.2399999999999998,3.37,21.16,0,0
2018-02-08,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,1.65,19.0,12.78,4.88,5.02,22.42,0,0
2018-02-09,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.2,25.57,13.63,5.06,5.109999999999999,22.53,0,0
2018-02-10,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,31.95,16.3,1.8499999999999999,5.1,21.580000000000002,0,0
2018-02-11,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.05,31.52,18.19,0.25,5.140000000000001,10.959999999999999,0,0
2018-02-12,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.34,19.78,13.68,0.39,5.470000000000001,5.66,0,0
2018-02-13,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.63,26.77,13.64,1.02,6.08,6.25,0,0
2018-02-14,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.5,28.44,16.8,1.47,3.37,6.74,0,0
2018-02-15,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,29.74,17.09,1.13,1.72,6.74,0,0
2018-02-16,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,30.59,16.46,0.5,1.52,6.63,0,0
2018-02-17,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.05,30.61,18.7,0.05,1.57,6.67,0,0
2018-02-18,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.08,29.59,18.77,0.13,1.6,6.74,0,0
2018-02-19,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.26,31.42,18.44,0.39,1.52,6.989999999999999,0,0
2018-02-20,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,1.46,30.29,20.4,1.8,2.35,8.43,0,0
2018-02-21,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.69,32.55,21.16,2.41,2.54,5.91,0,0
2018-02-22,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.16,31.21,21.01,2.31,2.7,4.419999999999999,0,0
2018-02-23,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.08,31.75,20.36,0.9299999999999999,2.7800000000000002,4.3,0,0
2018-02-24,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,32.92,19.73,0.25,2.74,4.3100000000000005,0,0
2018-02-25,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,32.61,21.06,0.09,2.66,4.26,0,0
2018-02-26,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.77,31.47,21.76,0.78,3.17,4.6899999999999995,0,0
2018-02-27,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.22,33.1,20.46,0.99,1.93,4.28,0,0
2018-02-28,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,33.21,19.53,0.99,1.24,3.7800000000000002,0,0
2018-03-01,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,34.24,20.16,0.22,1.08,3.7800000000000002,0,0
2018-03-02,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,30.87,19.07,0.0,1.0,3.7800000000000002,0,0
2018-03-03,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,32.09,17.98,0.0,0.99,3.73,0,0
2018-03-04,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,32.64,17.52,0.0,0.99,3.65,0,0
2018-03-05,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,33.63,19.92,0.01,0.23,3.4,0,0
2018-03-06,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,2.33,33.94,20.32,2.34,2.34,4.27,0,0
2018-03-07,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,8.69,20.77,15.86,11.03,11.03,12.27,1,0
2018-03-08,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.9,25.79,14.91,11.92,11.93,13.01,0,0
2018-03-09,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.39,31.72,18.17,9.98,12.32,13.32,0,0
2018-03-10,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,34.8,19.57,1.29,12.32,13.309999999999999,0,0
2018-03-11,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.27,36.42,20.44,0.66,12.59,13.58,0,0
2018-03-12,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,1.15,28.11,17.24,1.42,13.73,13.96,0,0
2018-03-13,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.83,25.87,15.94,2.25,12.229999999999999,14.569999999999999,0,0
2018-03-14,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,2.23,25.18,17.05,4.21,5.77,16.8,0,0
2018-03-15,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.14,32.01,17.57,3.2,5.01,16.939999999999998,0,0
2018-03-16,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,35.54,19.17,2.38,4.63,16.95,0,0
2018-03-17,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,36.57,20.99,0.15000000000000002,4.63,16.95,0,0
2018-03-18,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,38.78,21.42,0.01,4.359999999999999,16.95,0,0
2018-03-19,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,42.03,21.61,0.0,3.21,16.939999999999998,0,0
2018-03-20,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.06,34.42,19.53,0.06,2.44,14.67,0,0
2018-03-21,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,2.0,29.2,18.6,2.06,2.21,7.98,0,0
2018-03-22,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,1.71,29.94,19.38,3.77,3.78,8.79,0,0
2018-03-23,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,1.01,31.42,19.58,4.72,4.78,9.409999999999998,0,0
2018-03-24,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.03,35.58,19.47,2.75,4.81,9.440000000000001,0,0
2018-03-25,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,36.7,20.46,1.05,4.82,9.18,0,0
2018-03-26,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,36.06,20.28,0.05,4.83,8.040000000000001,0,0
2018-03-27,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,36.38,21.94,0.03,4.779999999999999,7.22,0,0
2018-03-28,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.02,37.37,23.0,0.04,2.8,5.010000000000001,0,0
2018-03-29,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,36.25,21.95,0.04,1.1,4.88,0,0
2018-03-30,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,34.02,20.0,0.03,0.09,4.87,0,0
2018-03-31,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,33.84,18.29,0.020000000000000004,0.07,4.88,0,0
2018-04-01,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,35.08,19.84,0.010000000000000004,0.06,4.88,0,0
2018-04-02,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.0,36.93,20.85,0.010000000000000004,0.05,4.88,0,0
2018-04-03,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.11,39.4,21.83,0.11,0.15,4.93,0,0
2018-04-04,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,8.13,33.54,21.59,8.24,8.260000000000002,11.06,1,0
2018-04-05,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.18,33.23,19.93,8.42,8.430000000000001,9.530000000000001,0,0
2018-04-06,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.01,35.92,22.1,8.32,8.440000000000001,8.53,0,0
2018-04-07,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.11,44.75,21.33,0.3,8.540000000000003,8.610000000000001,0,0
2018-04-08,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.19,34.0,20.36,0.31,8.730000000000002,8.790000000000001,0,0
2018-04-09,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,0.05,38.83,21.07,0.35,8.780000000000001,8.83,0,0
2018-04-10,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,31.72,31.54,19.12,31.959999999999997,40.39,40.54,1,1
2018-04-11,slp,"Cd. Valles, SLP",21.9833,-99.0167,5,2.45,27.99,17.87,34.22,34.71,42.97,0,0
