date,zona_key,zona,lat,lon,pct_prod,lluvia_mm,tmax,tmin,lluvia_3d,lluvia_7d,lluvia_14d,dias_lluvia_consec,evento_lluvia
2018-01-01,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,4.53,25.85,20.37,4.53,4.53,4.53,0,0
2018-01-02,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,3.12,23.95,18.96,7.65,7.65,7.65,0,0
2018-01-03,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,1.62,24.63,18.75,9.27,9.27,9.27,0,0
2018-01-04,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,20.5,21.8,16.48,25.24,29.77,29.77,1,1
2018-01-05,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,1.0,22.6,15.71,23.119999999999997,30.77,30.77,0,0
2018-01-06,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.02,24.09,14.79,21.52,30.79,30.79,0,0
2018-01-07,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.0,24.6,14.38,1.02,30.79,30.79,0,0
2018-01-08,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.0,25.63,14.4,0.02,26.259999999999998,30.79,0,0
2018-01-09,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.02,24.71,16.83,0.02,23.16,30.81,0,0
2018-01-10,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.0,24.73,15.28,0.02,21.54,30.81,0,0
2018-01-11,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.02,29.66,14.64,0.04,1.06,30.83,0,0
2018-01-12,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,4.1,25.01,16.55,4.119999999999999,4.16,34.93,0,0
2018-01-13,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.88,22.02,16.12,4.999999999999999,5.0200000000000005,35.81,0,0
2018-01-14,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,1.17,20.37,16.05,6.1499999999999995,6.19,36.98,0,0
2018-01-15,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.05,22.49,14.87,2.0999999999999996,6.24,32.5,0,0
2018-01-16,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.0,23.11,13.84,1.22,6.22,29.38,0,0
2018-01-17,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.68,23.22,16.5,0.7300000000000001,6.9,28.439999999999998,0,0
2018-01-18,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,1.49,22.77,15.99,2.17,8.370000000000001,9.43,0,0
2018-01-19,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.16,23.94,17.11,2.33,4.430000000000001,8.59,0,0
2018-01-20,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.09,25.86,16.66,1.74,3.640000000000001,8.66,0,0
2018-01-21,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.05,27.91,17.49,0.3000000000000002,2.520000000000001,8.709999999999999,0,0
2018-01-22,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.42,29.04,19.12,0.5600000000000002,2.8900000000000015,9.129999999999999,0,0
2018-01-23,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,14.75,27.56,21.53,15.22,17.64,23.86,1,0
2018-01-24,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,24.64,27.24,21.12,39.81,41.6,48.5,2,1
2018-01-25,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,58.56,25.29,20.69,97.95,98.67,107.03999999999999,3,1
2018-01-26,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,3.26,26.62,19.95,86.46000000000001,101.77000000000001,106.2,0,0
2018-01-27,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,4.33,26.57,17.92,66.15,106.01,109.64999999999999,0,0
2018-01-28,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,33.59,26.48,21.58,41.18000000000001,139.55,142.07,1,1
2018-01-29,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,86.36,24.09,19.76,124.28,225.49,228.38,2,1
2018-01-30,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,32.48,21.15,18.38,152.43,243.22000000000003,260.86,3,1
2018-01-31,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,2.53,23.29,16.84,121.37,221.11,262.71,0,0
2018-02-01,tabasco,"Huimanguillo, Tabasco",17.8333,-93.3833,7,0.01,25.49,15.64,35.02000000000001,162.56,261.22999999999996,0,0
