date,zona_key,zona,lat,lon,pct_prod,lluvia_mm,tmax,tmin,lluvia_3d,lluvia_7d,lluvia_14d,dias_lluvia_consec,evento_lluvia
2018-01-01,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.95,22.83,14.24,0.95,0.95,0.95,0,0
2018-01-02,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.5,17.87,13.07,1.45,1.45,1.45,0,0
2018-01-03,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.03,16.35,11.51,1.48,1.48,1.48,0,0
2018-01-04,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.17,16.03,11.39,0.7,1.65,1.65,0,0
2018-01-05,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.72,20.09,12.09,0.9199999999999999,2.37,2.37,0,0
2018-01-06,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,1.62,21.0,14.69,2.51,3.99,3.99,0,0
2018-01-07,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.05,22.8,15.68,2.39,4.04,4.04,0,0
2018-01-08,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.0,23.27,15.03,1.6700000000000002,3.09,4.04,0,0
2018-01-09,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.0,21.9,14.95,0.05,2.59,4.04,0,0
2018-01-10,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.0,23.92,13.49,0.0,2.56,4.04,0,0
2018-01-11,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.0,29.47,15.01,0.0,2.39,4.04,0,0
2018-01-12,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.42,19.51,11.91,0.42,2.09,4.46,0,0
2018-01-13,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,3.53,18.34,9.38,3.9499999999999997,4.0,7.99,0,0
2018-01-14,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,2.46,16.49,12.72,6.41,6.41,10.45,0,0
2018-01-15,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.35,18.15,12.34,6.34,6.76,9.85,0,0
2018-01-16,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.91,19.34,13.42,3.7199999999999998,7.67,10.26,0,0
2018-01-17,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,1.65,15.44,11.43,2.91,9.32,11.879999999999999,0,0
2018-01-18,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.19,15.43,11.37,2.75,9.51,11.899999999999999,0,0
2018-01-19,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,0.24,20.57,13.36,2.08,9.33,11.42,0,0
2018-01-20,tuxtepec,"Tuxtepec, Oax.",18.0833,-96.1167,16,1.33,23.16,14.99,1.76,7.13,11.129999999999999,0,0
