date,zona_key,zona,lat,lon,pct_prod,lluvia_mm,tmax,tmin,lluvia_3d,lluvia_7d,lluvia_14d,dias_lluvia_consec,evento_lluvia
2018-01-01,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,5.41,28.12,19.63,5.41,5.41,5.41,1,0
2018-01-02,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.4,26.76,18.14,5.8100000000000005,5.8100000000000005,5.8100000000000005,0,0
2018-01-03,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,26.22,15.6,5.8100000000000005,5.8100000000000005,5.8100000000000005,0,0
2018-01-04,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,24.2,14.76,0.4,5.8100000000000005,5.8100000000000005,0,0
2018-01-05,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.11,25.79,11.92,0.11,5.92,5.92,0,0
2018-01-06,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.11,26.81,14.92,0.22,6.03,6.03,0,0
2018-01-07,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,27.46,14.66,0.22,6.03,6.03,0,0
2018-01-08,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.16,29.39,15.58,0.27,0.78,6.19,0,0
2018-01-09,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.04,29.45,17.27,0.2,0.42,6.23,0,0
2018-01-10,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,29.02,15.77,0.2,0.42,6.23,0,0
2018-01-11,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,30.57,16.39,0.03999999999999997,0.42,6.23,0,0
2018-01-12,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,30.62,17.73,0.0,0.31,6.23,0,0
2018-01-13,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,25.66,13.16,0.0,0.2,6.23,0,0
2018-01-14,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.05,24.25,15.58,0.049999999999999975,0.25,6.28,0,0
2018-01-15,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.02,25.75,15.77,0.06999999999999998,0.11,0.89,0,0
2018-01-16,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,27.66,15.13,0.06999999999999998,0.07,0.49,0,0
2018-01-17,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.44,27.3,16.63,0.45999999999999996,0.51,0.9299999999999999,0,0
2018-01-18,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.16,25.74,18.01,0.6,0.67,1.09,0,0
2018-01-19,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,26.43,16.22,0.6,0.67,0.98,0,0
2018-01-20,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,29.25,15.52,0.15999999999999995,0.67,0.87,0,0
2018-01-21,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,1.36,30.61,19.43,1.36,1.98,2.23,0,0
2018-01-22,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.1,32.19,21.24,1.4600000000000002,2.06,2.17,0,0
2018-01-23,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,6.74,30.77,20.89,8.200000000000001,8.8,8.870000000000001,1,0
2018-01-24,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,8.0,29.45,20.78,14.84,16.36,16.87,2,0
2018-01-25,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,5.0,28.82,20.06,19.740000000000002,21.200000000000003,21.87,0,0
2018-01-26,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,3.42,25.97,21.13,16.42,24.62,25.29,0,0
2018-01-27,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,10.49,27.47,20.59,18.91,35.11,35.78,1,0
2018-01-28,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,7.43,30.87,19.77,21.34,41.18,43.160000000000004,2,0
2018-01-29,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,4.6,27.86,20.81,22.520000000000003,45.68,47.74,0,0
2018-01-30,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.25,27.32,19.44,12.28,39.19,47.99,0,0
2018-01-31,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,27.76,17.58,4.85,31.19,47.550000000000004,0,0
2018-02-01,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,30.48,15.73,0.25,26.19,47.39,0,0
2018-02-02,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,31.24,18.27,0.0,22.77,47.39,0,0
2018-02-03,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,31.74,17.76,0.0,12.280000000000001,47.39,0,0
2018-02-04,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,32.67,20.03,0.0,4.850000000000001,46.03,0,0
2018-02-05,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,32.08,20.52,0.0,0.2500000000000018,45.93,0,0
2018-02-06,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,31.82,19.05,0.0,0.0,39.190000000000005,0,0
2018-02-07,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,31.78,20.56,0.0,0.0,31.189999999999998,0,0
2018-02-08,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,31.98,21.49,0.0,0.0,26.189999999999998,0,0
2018-02-09,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,31.73,19.29,0.0,0.0,22.769999999999996,0,0
2018-02-10,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.64,30.79,20.49,0.64,0.6400000000000018,12.92,0,0
2018-02-11,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.14,32.33,21.44,0.78,0.7800000000000018,5.63,0,0
2018-02-12,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,32.93,22.54,0.78,0.7800000000000018,1.03,0,0
2018-02-13,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.13,33.19,21.17,0.27,0.9100000000000018,0.91,0,0
2018-02-14,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.15,31.95,20.4,0.28,1.0600000000000018,1.06,0,0
2018-02-15,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.08,32.79,19.83,0.36,1.140000000000002,1.1400000000000001,0,0
2018-02-16,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,32.33,17.76,0.22999999999999998,1.140000000000002,1.1400000000000001,0,0
2018-02-17,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,33.05,18.83,0.08,0.5000000000000018,1.1400000000000001,0,0
2018-02-18,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,32.87,19.13,0.0,0.36000000000000176,1.1400000000000001,0,0
2018-02-19,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.12,32.37,18.84,0.12,0.48000000000000176,1.26,0,0
2018-02-20,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,4.28,31.43,21.76,4.4,4.630000000000002,5.54,0,0
2018-02-21,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,1.82,32.72,22.24,6.220000000000001,6.300000000000002,7.36,0,0
2018-02-22,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.9,31.58,20.47,7.0,7.120000000000001,8.26,0,0
2018-02-23,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,1.86,33.15,20.34,4.58,8.98,10.120000000000001,0,0
2018-02-24,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.08,33.24,19.99,2.84,9.06,9.559999999999999,0,0
2018-02-25,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,33.22,19.54,1.94,9.06,9.42,0,0
2018-02-26,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,33.33,20.12,0.08,8.940000000000001,9.42,0,0
2018-02-27,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,33.45,19.86,0.0,4.660000000000002,9.29,0,0
2018-02-28,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,33.35,19.9,0.0,2.8400000000000016,9.139999999999999,0,0
2018-03-01,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,34.29,19.14,0.0,1.9400000000000017,9.059999999999999,0,0
2018-03-02,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,35.43,19.8,0.0,0.08000000000000178,9.059999999999999,0,0
2018-03-03,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,34.71,22.23,0.0,0.0,9.059999999999999,0,0
2018-03-04,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,34.19,20.36,0.0,0.0,9.059999999999999,0,0
2018-03-05,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,33.86,17.59,0.0,0.0,8.94,0,0
2018-03-06,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,34.03,18.22,0.0,0.0,4.66,0,0
2018-03-07,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,1.81,34.92,18.68,1.81,1.8100000000000018,4.65,0,0
2018-03-08,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,6.84,31.18,19.97,8.65,8.650000000000002,10.59,1,0
2018-03-09,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,1.47,32.44,19.4,10.120000000000001,10.120000000000003,10.200000000000001,0,0
2018-03-10,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.07,34.75,20.47,8.379999999999999,10.190000000000001,10.19,0,0
2018-03-11,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,36.84,21.78,1.54,10.190000000000001,10.19,0,0
2018-03-12,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,4.96,35.74,22.15,5.03,15.150000000000002,15.15,0,0
2018-03-13,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.71,31.39,20.87,5.67,15.860000000000003,15.86,0,0
2018-03-14,yucatan,"Valladolid, Yucatan",20.6897,-88.2022,5,0.0,31.91,18.38,5.67,14.05,15.86,0,0
