date,lluvia_14d_mtt,lluvia_14d_slp,lluvia_14d_tabasco,lluvia_14d_tuxtepec,lluvia_14d_yucatan,lluvia_7d_mtt,lluvia_7d_slp,lluvia_7d_tabasco,lluvia_7d_tuxtepec,lluvia_7d_yucatan,lluvia_mm_mtt,lluvia_mm_slp,lluvia_mm_tabasco,lluvia_mm_tuxtepec,lluvia_mm_yucatan,lluvia_mm_ponderada,lluvia_7d_ponderada,lluvia_14d_ponderada,lluvia_mm,lluvia_7d,lluvia_14d,lluvia_14d_lag6,lluvia_7d_lag7,lluvia_3d_lag7
2018-01-01,2.15,0.42,4.53,0.95,5.41,2.15,0.42,4.53,0.95,5.41,2.15,0.42,4.53,0.95,5.41,2.2087356321839082,2.2087356321839082,2.2087356321839082,2.2087356321839082,2.2087356321839082,2.2087356321839082,,,
2018-01-02,3.04,0.59,7.65,1.45,5.8100000000000005,3.04,0.59,7.65,1.45,5.8100000000000005,0.89,0.17,3.12,0.5,0.4,0.92816091954023,3.136896551724138,3.136896551724138,0.92816091954023,3.136896551724138,3.136896551724138,,,
2018-01-03,3.73,1.09,9.27,1.48,5.8100000000000005,3.73,1.09,9.27,1.48,5.8100000000000005,0.69,0.5,1.62,0.03,0.0,0.5928735632183908,3.7297701149425286,3.7297701149425286,0.5928735632183908,3.7297701149425286,3.7297701149425286,,,
2018-01-04,4.07,1.09,29.77,1.65,5.8100000000000005,4.07,1.09,29.77,1.65,5.8100000000000005,0.34,0.0,20.5,0.17,0.0,1.8917241379310346,5.621494252873564,5.621494252873564,1.8917241379310346,5.621494252873564,5.621494252873564,,,
2018-01-05,4.32,1.09,30.77,2.37,5.92,4.32,1.09,30.77,2.37,5.92,0.25,0.0,1.0,0.72,0.11,0.374367816091954,5.9958620689655175,5.9958620689655175,0.374367816091954,5.9958620689655175,5.9958620689655175,,,
2018-01-06,4.46,1.23,30.79,3.99,6.03,4.46,1.23,30.79,3.99,6.03,0.14,0.14,0.02,1.62,0.11,0.40080459770114946,6.396666666666667,6.396666666666667,0.40080459770114946,6.396666666666667,6.396666666666667,,,
2018-01-07,4.57,1.3,30.79,4.04,6.03,4.57,1.3,30.79,4.04,6.03,0.11,0.07,0.0,0.05,0.0,0.08149425287356322,6.4781609195402305,6.4781609195402305,0.08149425287356322,6.4781609195402305,6.4781609195402305,2.2087356321839082,,
2018-01-08,4.64,1.3,30.79,4.04,6.19,2.49,0.8800000000000001,26.26,3.09,0.78,0.07,0.0,0.0,0.0,0.16,0.05264367816091954,4.322068965517242,6.530804597701151,0.05264367816091954,4.322068965517242,6.530804597701151,3.136896551724138,2.2087356321839082,2.2087356321839082
2018-01-09,4.64,1.3,30.81,4.04,6.23,1.6,0.71,23.16,2.59,0.42,0.0,0.0,0.02,0.0,0.04,0.003908045977011495,3.3978160919540232,6.534712643678161,0.003908045977011495,3.3978160919540232,6.534712643678161,3.7297701149425286,3.136896551724138,0.92816091954023
2018-01-10,4.64,1.3,30.81,4.04,6.23,0.91,0.21,21.54,2.56,0.42,0.0,0.0,0.0,0.0,0.0,0.0,2.8049425287356327,6.534712643678161,0.0,2.8049425287356327,6.534712643678161,5.621494252873564,3.7297701149425286,0.5928735632183908
