date,market,size,quality,official_price,appearance_raw,market_tone,demand_tone,commodity_comments,source_price,source_district,low_price,high_price,mostly_low_price,mostly_high_price,total_seedless_lb,pharr_seedless_lb,mx_seedless_lb,total_movement_lag_1,pharr_lag_1,movement_change_1d,pharr_sum7d,pharr_sum14d,movement_zscore_14d,usd_mxn,usd_mxn_lag4,usd_mxn_chg_3d,usd_mxn_chg_7d,peso_debil_7d,lluvia_mm,lluvia_3d,lluvia_7d,lluvia_14d,lluvia_14d_lag6,lluvia_7d_lag7,lluvia_3d_lag7,lluvia_lag9,dias_lluvia_consec,dias_consec_lag5,evento_lluvia_lag7,import_total,import_lag2,import_lag5,import_sum7d,import_zscore,import_zscore_lag2,price_lag_1,price_lag_3,price_lag_7,ma_3,ma_7,ma_14,price_change_1d,momentum_3d,momentum_7d,price_accel,volatility_7d,volatility_14d,price_position_14d,cross_p110,cross_p150,cross_p175,cross_p200,cross_p230,cross_p250,cross_p110_lag1,cross_p150_lag1,cross_p175_lag1,cross_p200_lag1,cross_p230_lag1,cross_p250_lag1,spread_200_230,spread_chg_3d,spread_175_200,spike_230_lag14,spike_230_lag10,spike_250_lag15,spike_250_lag10,month,day_of_week,month_sin,month_cos,dow_sin,dow_cos,supply_season,target_1d,target_2d,target_3d,target_7d,direction_target_1d,direction_target_2d,direction_target_3d,direction_target_7d
2023-09-01,US_MCALLEN,110,#1,47.0,Fine Appearance,,"110-200S GOOD, OTHERS FAIRLY GOOD.",,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,3253190.0,1938463.0,2800528.0,6743712.0,4809891.0,-3490522.0,28091194.0,51727561.0,0.5264426096076856,17.1113,16.7432,0.27110000000000056,0.3035999999999994,1.0,1.800804597701149,8.059195402298851,37.84942528735632,121.35758620689654,168.71793103448277,83.50816091954025,51.37390804597701,18.064252873563216,0.0,8.0,0.0,452662.0,95040.0,551998.0,2092002.0,0.2893639447937037,-1.0523168991613763,,,,,,,,,,,,,,41.0,41.0,40.0,37.0,35.0,34.0,41.5,41.5,41.5,39.0,38.0,36.0,1.0,0.0,2.5,-1.0,2.25,-1.5,4.0,9,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.3,47.0,47.0,47.0,49.0,LATERAL,LATERAL,LATERAL,UP
2023-09-05,US_MCALLEN,110,#1,47.0,Fine Appearance,,GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,2645500.0,1366821.0,2213379.0,3253190.0,1938463.0,-607690.0,22449096.0,51953121.0,-0.6682891246555985,17.3492,16.7477,0.43219999999999814,0.5774000000000008,1.0,2.6171264367816094,6.066666666666666,16.654942528735628,97.81908045977012,130.6280459770115,81.16413793103449,19.053103448275863,12.829080459770118,0.0,0.0,0.0,432121.0,318877.0,204782.0,2495384.0,0.18333324643778545,-0.21480738226090842,47.0,,,47.0,47.0,47.0,0.0,,,,,,,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,40.0,37.0,35.0,34.0,2.0,1.0,3.0,-1.0,4.5,-0.5,6.0,9,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.3,47.0,47.0,47.0,49.0,LATERAL,LATERAL,LATERAL,UP
2023-09-06,US_MCALLEN,110,#1,47.0,Fine Appearance,ABOUT STEADY.,GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,4775565.0,3627949.0,4559302.0,2645500.0,1366821.0,2130065.0,19522328.0,50371400.0,-0.8095031596049332,17.5805,16.917,0.4692000000000007,0.837299999999999,1.0,8.602068965517242,12.697586206896553,22.371264367816085,88.35689655172413,128.7396551724138,65.98563218390804,9.10977011494253,5.695057471264368,1.0,0.0,0.0,151048.0,452662.0,663113.0,2718593.0,-0.9547669285227351,0.2893639447937037,47.0,,,47.0,47.0,47.0,0.0,,,0.0,,,,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,1.0,4.0,-1.0,2.25,0.0,2.0,9,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.3,47.0,47.0,47.0,49.0,LATERAL,LATERAL,LATERAL,UP
2023-09-07,US_MCALLEN,110,#1,47.0,Fine Appearance,ABOUT STEADY.,GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,11080496.0,7895052.0,10741540.0,4775565.0,3627949.0,6304931.0,22084507.0,48494571.0,-0.04708302255182788,17.5543,17.1113,0.37930000000000064,0.714100000000002,1.0,5.179310344827586,16.398505747126435,24.177931034482757,74.19885057471264,121.35758620689654,50.02091954022988,6.787356321839081,0.5289655172413793,2.0,0.0,0.0,288136.0,432121.0,95040.0,2317643.0,-0.34061669979145864,0.18333324643778545,47.0,47.0,,47.0,47.0,47.0,0.0,0.0,,0.0,0.0,0.0,,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,1.0,4.0,2.25,4.75,0.0,5.0,9,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.3,47.0,47.0,47.0,41.0,LATERAL,LATERAL,LATERAL,DOWN
2023-09-08,US_MCALLEN,110,#1,47.0,Fine Appearance,ABOUT STEADY.,GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,7167142.0,5098361.0,6916428.0,11080496.0,7895052.0,-3913354.0,29013236.0,48319692.0,1.96452148327629,17.5767,17.175,0.22749999999999915,0.8290000000000006,1.0,5.253103448275862,19.03448275862069,27.63022988505747,65.47965517241379,119.50517241379312,37.84942528735632,8.059195402298851,2.8857471264367818,3.0,0.0,0.0,200481.0,151048.0,318877.0,2400997.0,-0.6800782448292879,-0.9547669285227351,47.0,47.0,,47.0,47.0,47.0,0.0,0.0,,0.0,0.0,0.0,,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,0.0,4.0,2.25,7.5,4.0,8.0,9,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.3,47.0,47.0,49.0,40.0,LATERAL,LATERAL,UP,DOWN
2023-09-11,US_MCALLEN,110,#1,47.0,Fine Appearance,ABOUT STEADY.,GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,3640249.0,2267760.0,3120729.0,7167142.0,5098361.0,-3526893.0,32814792.0,51839990.0,0.6167632789574502,17.3813,17.3492,-0.19920000000000115,0.46429999999999794,0.0,3.870804597701149,21.89735632183908,43.54896551724138,58.11574712643678,97.81908045977012,14.566781609195402,5.978620689655173,2.529080459770115,0.0,1.0,0.0,511406.0,288136.0,452662.0,1938365.0,0.5805845772350621,-0.34061669979145864,47.0,47.0,,47.0,47.0,47.0,0.0,0.0,,0.0,0.0,0.0,0.0,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,0.0,4.0,4.5,10.0,4.0,10.5,9,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.3,47.0,49.0,49.0,40.0,LATERAL,UP,UP,DOWN
2023-09-12,US_MCALLEN,110,#1,47.0,Fine Appearance,ABOUT STEADY.,FAIRLY GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,3237664.0,1715587.0,2467411.0,3640249.0,2267760.0,-402585.0,27004297.0,52830695.0,-0.562583555432941,17.2553,17.5805,-0.29900000000000304,0.14399999999999835,0.0,3.136896551724138,16.001149425287355,44.06873563218391,60.723678160919555,88.35689655172413,16.654942528735628,6.066666666666666,1.9711494252873565,0.0,2.0,0.0,719433.0,200481.0,432121.0,2354731.0,1.3812892939058212,-0.6800782448292879,47.0,47.0,,47.0,47.0,47.0,0.0,0.0,,0.0,0.0,0.0,0.0,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,0.0,4.0,2.25,8.75,6.0,8.0,9,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.3,49.0,49.0,49.0,47.5,UP,UP,UP,LATERAL
2023-09-13,US_MCALLEN,110,#1,49.0,Fine Appearance,"110-200S FINEAPPERANCE SLIGHTLY HIGHER, 230S-250S FINE FINEAPPEARANCE HIGHER, OTHERS ABOUT STEADY.",FAIRLY GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,9408900.0,7733417.0,8982146.0,3237664.0,1715587.0,6171236.0,23909993.0,52001187.0,-0.6721989995943387,17.1235,17.5543,-0.45319999999999894,-0.05150000000000077,0.0,2.639310344827586,9.647011494252872,38.10597701149425,60.47724137931034,74.19885057471264,22.371264367816085,12.697586206896553,1.4783908045977012,0.0,3.0,0.0,326731.0,511406.0,151048.0,2755287.0,-0.22433989143863417,0.5805845772350621,47.0,47.0,47.0,47.0,47.0,47.0,2.0,2.0,2.0,2.0,0.0,0.0,2000000.0,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,0.0,4.0,4.75,3.75,2.0,3.0,9,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.3,49.0,49.0,41.0,47.5,LATERAL,LATERAL,DOWN,DOWN
2023-09-14,US_MCALLEN,110,#1,49.0,Fine Appearance,"SEEDED HIGHER, OTHERS ABOUT STEADY.",FAIRLY GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,10916158.0,8258820.0,10518266.0,9408900.0,7733417.0,1507258.0,29704947.0,52154043.0,1.3313833442122103,17.1042,17.5767,-0.2771000000000008,-0.245000000000001,0.0,3.032643678160919,8.808850574712643,35.959310344827585,60.137241379310346,65.47965517241379,24.177931034482757,16.398505747126435,2.6171264367816094,0.0,4.0,0.0,307366.0,719433.0,288136.0,2629356.0,-0.3237520974526449,1.3812892939058212,49.0,47.0,47.0,47.666666666666664,47.285714285714285,47.25,0.0,2.0,2.0,-2.0,0.7559289460184546,0.7071067811865476,0.99999950000025,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,0.0,4.0,7.5,2.5,5.0,1.5,9,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.3,49.0,41.0,40.0,40.5,LATERAL,DOWN,DOWN,DOWN
2023-09-15,US_MCALLEN,110,#1,49.0,Fine Appearance,ABOUT STEADY.,FAIRLY GOOD.,wide range in quality and condition.,USDA_SHIPPING_POINT,MEXICO CROSSINGS THROUGH TEXAS,,,,,7412391.0,5490407.0,6838487.0,10916158.0,8258820.0,-3503767.0,36596946.0,56119274.0,1.524979934238275,17.0807,17.3813,-0.1745999999999981,-0.49980000000000047,0.0,1.827816091954023,7.499770114942528,32.53402298850575,60.16425287356322,63.77563218390805,27.63022988505747,19.03448275862069,8.602068965517242,0.0,5.0,0.0,573424.0,326731.0,200481.0,2504601.0,1.0307641680664565,-0.22433989143863417,49.0,47.0,47.0,48.333333333333336,47.57142857142857,47.44444444444444,0.0,2.0,2.0,0.0,0.9759000729485343,0.8819171036881971,0.99999950000025,41.0,41.0,41.0,37.0,35.0,34.0,41.0,41.0,41.0,37.0,35.0,34.0,2.0,0.0,4.0,10.0,1.25,8.0,1.0,9,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.3,41.0,40.0,40.0,40.5,DOWN,DOWN,DOWN,DOWN
