date,total_seedless_lb,mx_seedless_lb,colombia_seedless_lb,peru_seedless_lb,truck_seedless_lb,boat_seedless_lb,organic_seedless_lb,pharr_seedless_lb
2018-01-02,4430951,4430951,0,0,4430951,0,0,2175199
2018-01-03,1682731,1682731,0,0,1682731,0,0,1060184
2018-01-04,1128848,1128848,0,0,1128848,0,0,596734
2018-01-05,2502694,2502694,0,0,2502694,0,0,1712016
2018-01-06,1613899,1613899,0,0,1613899,0,0,910318
2018-01-07,2779105,2779105,0,0,2779105,0,0,2331881
2018-01-08,4845986,4845986,0,0,4845986,0,0,3336677
2018-01-09,2950554,2950554,0,0,2950554,0,0,1990296
2018-01-10,2504777,2504777,0,0,2504777,0,0,1839609
2018-01-11,4025411,4025411,0,0,4025411,0,0,2862536
2018-01-12,5564237,5564237,0,0,5564237,0,0,4629383
2018-01-13,3120649,3120649,0,0,3120649,0,0,2181146
2018-01-14,2500493,2500493,0,0,2500493,0,0,2073500
2018-01-15,5477193,5477193,0,0,5477193,0,0,3486144
2018-01-16,2841528,2841528,0,0,2841528,0,0,2283395
2018-01-17,1988223,1988223,0,0,1988223,0,0,1674050
2018-01-18,3395683,3395683,0,0,3395683,0,0,2750141
2018-01-19,4193050,4193050,0,0,4193050,0,0,3227219
2018-01-20,1302236,1302236,0,0,1302236,0,0,840462
2018-01-21,1615645,1615645,0,0,1615645,0,0,1339349
2018-01-22,4621562,4621562,0,0,4621562,0,0,2934879
2018-01-23,1873425,1873425,0,0,1873425,0,0,1479511
2018-01-24,1796393,1796393,0,0,1796393,0,0,1220441
2018-01-25,2440244,2440244,0,0,2440244,0,0,2095753
2018-01-26,1929835,1929835,0,0,1929835,0,0,1651918
2018-01-27,2418552,2418552,0,0,2418552,0,0,2237316
2018-01-28,609257,609257,0,0,609257,0,0,436407
2018-01-29,3525513,3525513,0,0,3525513,0,0,2614119
2018-01-30,1170574,1170574,0,0,1170574,0,0,789294
2018-01-31,1462945,1462945,0,0,1462945,0,0,1253234
2018-02-01,2921215,2921215,0,0,2921215,0,0,2543506
2018-02-02,4795268,4795268,0,0,4795268,0,0,3978360
2018-02-03,4340455,4340455,0,0,4340455,0,0,3706969
2018-02-04,2623391,2623391,0,0,2623391,0,0,2281429
2018-02-05,441335,441335,0,0,441335,0,0,82381
2018-02-06,3520859,3520859,0,0,3520859,0,0,2848501
2018-02-07,1767705,1767705,0,0,1767705,0,0,1414003
2018-02-08,3228731,3228731,0,0,3228731,0,0,2781306
2018-02-09,3959684,3959684,0,0,3959684,0,0,3517336
2018-02-10,513922,513922,0,0,513922,0,0,78890
2018-02-11,1686528,1686528,0,0,1686528,0,0,1446964
2018-02-12,2820364,2820364,0,0,2820364,0,0,1744995
