date,market,size,origin,quality_type,low_price,high_price,mostly_low_price,mostly_high_price,official_price,market_tone,reporter_comment
2026-02-02,Chicago,110,Mexico,BASE,34.0,38.0,36.0,36.0,36.0,MARKET HIGHER,
2026-02-02,Chicago,150,Mexico,BASE,34.0,38.0,36.0,36.0,36.0,MARKET HIGHER,
2026-02-02,Chicago,175,Mexico,BASE,36.0,38.0,,,38.0,MARKET HIGHER,
2026-02-02,Chicago,200,Mexico,BASE,36.0,38.0,,,38.0,MARKET HIGHER,
2026-02-02,Chicago,230,Mexico,BASE,36.0,38.0,,,38.0,MARKET HIGHER,Occasional Lower
2026-02-02,Chicago,250,Mexico,BASE,36.0,38.0,,,38.0,MARKET HIGHER,
2026-02-03,Chicago,110,Mexico,BASE,34.0,38.0,36.0,36.0,36.0,MARKET STEADY,
2026-02-03,Chicago,150,Mexico,BASE,34.0,38.0,36.0,36.0,36.0,MARKET STEADY,
2026-02-03,Chicago,175,Mexico,BASE,36.0,38.0,,,38.0,MARKET STEADY,
2026-02-03,Chicago,200,Mexico,BASE,36.0,38.0,,,38.0,MARKET STEADY,
2026-02-03,Chicago,230,Mexico,BASE,36.0,38.0,,,38.0,MARKET STEADY,Occasional Lower
2026-02-03,Chicago,250,Mexico,BASE,36.0,38.0,,,38.0,MARKET STEADY,
2026-02-04,Chicago,110,Mexico,BASE,34.0,38.0,36.0,36.0,36.0,MARKET ORGANIC HIGHER; OTHERS STEADY,
2026-02-04,Chicago,150,Mexico,BASE,48.0,48.0,,,48.0,MARKET ORGANIC HIGHER; OTHERS STEADY,
2026-02-04,Chicago,175,Mexico,BASE,36.0,38.0,,,38.0,MARKET ORGANIC HIGHER; OTHERS STEADY,
2026-02-04,Chicago,200,Mexico,BASE,36.0,38.0,,,38.0,MARKET ORGANIC HIGHER; OTHERS STEADY,
2026-02-04,Chicago,230,Mexico,BASE,36.0,38.0,,,38.0,MARKET ORGANIC HIGHER; OTHERS STEADY,Occasional Lower
2026-02-04,Chicago,250,Mexico,BASE,36.0,38.0,,,38.0,MARKET ORGANIC HIGHER; OTHERS STEADY,
2026-02-05,Chicago,110,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,Few Low as 32.00
2026-02-05,Chicago,150,Mexico,BASE,48.0,48.0,,,48.0,MARKET ABOUT STEADY,
2026-02-05,Chicago,175,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,
2026-02-05,Chicago,200,Mexico,BASE,36.0,38.0,,,38.0,MARKET ABOUT STEADY,
2026-02-05,Chicago,230,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,Occasional Lower
2026-02-05,Chicago,250,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,Few Low as 33.00
2026-02-06,Chicago,110,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,Few Low as 32.00
2026-02-06,Chicago,150,Mexico,BASE,48.0,48.0,,,48.0,MARKET ABOUT STEADY,
2026-02-06,Chicago,175,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,
2026-02-06,Chicago,200,Mexico,BASE,36.0,38.0,,,38.0,MARKET ABOUT STEADY,
2026-02-06,Chicago,230,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,Occasional Lower
2026-02-06,Chicago,250,Mexico,BASE,36.0,37.0,,,37.0,MARKET ABOUT STEADY,Few Low as 33.00
2026-02-09,Chicago,110,Mexico,BASE,42.0,44.0,,,44.0,MARKET HIGHER,
2026-02-09,Chicago,110,Mexico,Fair Quality,38.0,38.0,,,38.0,MARKET HIGHER,
2026-02-09,Chicago,150,Mexico,BASE,40.0,44.0,42.0,42.0,42.0,MARKET HIGHER,
2026-02-09,Chicago,175,Mexico,BASE,40.0,44.0,42.0,42.0,42.0,MARKET HIGHER,
2026-02-09,Chicago,175,Mexico,Fair Quality,38.0,38.0,,,38.0,MARKET HIGHER,
2026-02-09,Chicago,200,Mexico,BASE,40.0,44.0,41.0,42.0,42.0,MARKET HIGHER,
2026-02-09,Chicago,230,Mexico,BASE,40.0,44.0,41.0,42.0,42.0,MARKET HIGHER,
2026-02-09,Chicago,250,Mexico,Fair Quality,34.0,36.0,,,36.0,MARKET HIGHER,
2026-02-10,Chicago,110,Mexico,BASE,42.0,44.0,,,44.0,MARKET STEADY,
2026-02-10,Chicago,110,Mexico,Fair Quality,38.0,38.0,,,38.0,MARKET STEADY,
2026-02-10,Chicago,150,Mexico,BASE,40.0,44.0,42.0,42.0,42.0,MARKET STEADY,
2026-02-10,Chicago,175,Mexico,Fair Quality,38.0,38.0,,,38.0,MARKET STEADY,
2026-02-10,Chicago,175,Mexico,BASE,40.0,44.0,42.0,42.0,42.0,MARKET STEADY,
2026-02-10,Chicago,200,Mexico,BASE,40.0,44.0,41.0,42.0,42.0,MARKET STEADY,
2026-02-10,Chicago,230,Mexico,BASE,40.0,44.0,41.0,42.0,42.0,MARKET STEADY,
2026-02-10,Chicago,250,Mexico,Fair Quality,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-11,Chicago,110,Mexico,BASE,42.0,44.0,,,44.0,MARKET STEADY,
2026-02-11,Chicago,110,Mexico,Fair Quality,38.0,38.0,,,38.0,MARKET STEADY,
2026-02-11,Chicago,150,Mexico,BASE,40.0,44.0,42.0,42.0,42.0,MARKET STEADY,
2026-02-11,Chicago,175,Mexico,BASE,40.0,44.0,42.0,42.0,42.0,MARKET STEADY,
2026-02-11,Chicago,175,Mexico,Fair Quality,38.0,38.0,,,38.0,MARKET STEADY,
2026-02-11,Chicago,200,Mexico,BASE,40.0,44.0,41.0,42.0,42.0,MARKET STEADY,
2026-02-11,Chicago,230,Mexico,BASE,40.0,44.0,41.0,42.0,42.0,MARKET STEADY,
2026-02-11,Chicago,250,Mexico,Fair Quality,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-12,Chicago,110,Mexico,BASE,44.0,46.0,,,46.0,MARKET HIGHER,
2026-02-12,Chicago,110,Mexico,Fair Quality,36.0,36.0,,,36.0,MARKET HIGHER,
2026-02-12,Chicago,150,Mexico,Fair Quality,41.0,41.0,,,41.0,MARKET HIGHER,
2026-02-12,Chicago,150,Mexico,BASE,48.0,48.0,,,48.0,MARKET HIGHER,
2026-02-12,Chicago,175,Mexico,BASE,44.0,46.0,,,46.0,MARKET HIGHER,
2026-02-12,Chicago,200,Mexico,BASE,44.0,46.0,,,46.0,MARKET HIGHER,
2026-02-12,Chicago,200,Mexico,Fair Quality,40.0,40.0,,,40.0,MARKET HIGHER,
2026-02-12,Chicago,230,Mexico,BASE,44.0,46.0,,,46.0,MARKET HIGHER,
2026-02-12,Chicago,230,Mexico,Fair Quality,42.0,42.0,,,42.0,MARKET HIGHER,
2026-02-12,Chicago,250,Mexico,BASE,44.0,46.0,,,46.0,MARKET HIGHER,
2026-02-12,Chicago,250,Mexico,Fair Quality,40.0,40.0,,,40.0,MARKET HIGHER,
2026-02-13,Chicago,110,Mexico,Fair Quality,36.0,36.0,,,36.0,MARKET STEADY,
2026-02-13,Chicago,110,Mexico,BASE,44.0,46.0,,,46.0,MARKET STEADY,
2026-02-13,Chicago,150,Mexico,BASE,48.0,48.0,,,48.0,MARKET STEADY,
2026-02-13,Chicago,150,Mexico,Fair Quality,41.0,41.0,,,41.0,MARKET STEADY,
2026-02-13,Chicago,175,Mexico,BASE,44.0,46.0,,,46.0,MARKET STEADY,
2026-02-13,Chicago,200,Mexico,Fair Quality,40.0,40.0,,,40.0,MARKET STEADY,
2026-02-13,Chicago,200,Mexico,BASE,44.0,46.0,,,46.0,MARKET STEADY,
2026-02-13,Chicago,230,Mexico,BASE,44.0,46.0,,,46.0,MARKET STEADY,
2026-02-13,Chicago,230,Mexico,Fair Quality,42.0,42.0,,,42.0,MARKET STEADY,
2026-02-13,Chicago,250,Mexico,Fair Quality,40.0,40.0,,,40.0,MARKET STEADY,
2026-02-13,Chicago,250,Mexico,BASE,44.0,46.0,,,46.0,MARKET STEADY,
2026-02-17,Chicago,110,Mexico,BASE,46.0,50.0,48.0,48.0,48.0,,
