date,market,size,origin,quality_type,low_price,high_price,mostly_low_price,mostly_high_price,official_price,market_tone,reporter_comment
2026-02-02,Los Angeles,110,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,150,Mexico,BASE,34.0,36.0,,,36.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,150,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,150,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,175,Mexico,BASE,34.0,36.0,,,36.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,175,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,175,Mexico,Fair Quality,38.0,40.0,,,40.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,200,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,200,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,200,Mexico,BASE,34.0,36.0,,,36.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,230,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,230,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET ABOUT STEADY,
2026-02-02,Los Angeles,230,Mexico,BASE,32.0,35.0,,,35.0,MARKET ABOUT STEADY,
2026-02-03,Los Angeles,110,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-03,Los Angeles,150,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-03,Los Angeles,150,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-03,Los Angeles,150,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-03,Los Angeles,175,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-03,Los Angeles,175,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-03,Los Angeles,175,Mexico,Fair Quality,38.0,40.0,,,40.0,MARKET STEADY,
2026-02-03,Los Angeles,200,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-03,Los Angeles,200,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-03,Los Angeles,200,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-03,Los Angeles,230,Mexico,BASE,32.0,35.0,,,35.0,MARKET STEADY,
2026-02-03,Los Angeles,230,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-03,Los Angeles,230,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-04,Los Angeles,110,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-04,Los Angeles,150,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-04,Los Angeles,150,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-04,Los Angeles,150,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-04,Los Angeles,175,Mexico,Fair Quality,38.0,40.0,,,40.0,MARKET STEADY,
2026-02-04,Los Angeles,175,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-04,Los Angeles,175,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-04,Los Angeles,200,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-04,Los Angeles,200,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-04,Los Angeles,200,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-04,Los Angeles,230,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-04,Los Angeles,230,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-04,Los Angeles,230,Mexico,BASE,32.0,35.0,,,35.0,MARKET STEADY,
2026-02-05,Los Angeles,110,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-05,Los Angeles,150,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-05,Los Angeles,150,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-05,Los Angeles,150,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-05,Los Angeles,175,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-05,Los Angeles,175,Mexico,Fair Quality,38.0,40.0,,,40.0,MARKET STEADY,
2026-02-05,Los Angeles,175,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-05,Los Angeles,200,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-05,Los Angeles,200,Mexico,BASE,34.0,36.0,,,36.0,MARKET STEADY,
2026-02-05,Los Angeles,200,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-05,Los Angeles,230,Mexico,Fine Appearance,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-05,Los Angeles,230,Mexico,Fair Quality,28.0,30.0,,,30.0,MARKET STEADY,
2026-02-05,Los Angeles,230,Mexico,BASE,32.0,35.0,,,35.0,MARKET STEADY,
2026-02-06,Los Angeles,110,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,150,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,150,Mexico,BASE,40.0,42.0,,,42.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,150,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,175,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,175,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,175,Mexico,BASE,40.0,42.0,,,42.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,200,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,200,Mexico,BASE,40.0,42.0,,,42.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,200,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,230,Mexico,BASE,40.0,42.0,,,42.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,230,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET MUCH HIGHER,
2026-02-06,Los Angeles,230,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET MUCH HIGHER,
2026-02-09,Los Angeles,110,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET STEADY,
2026-02-09,Los Angeles,150,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET STEADY,
2026-02-09,Los Angeles,150,Mexico,BASE,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-09,Los Angeles,150,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET STEADY,
2026-02-09,Los Angeles,175,Mexico,BASE,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-09,Los Angeles,175,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET STEADY,
2026-02-09,Los Angeles,175,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET STEADY,
2026-02-09,Los Angeles,200,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET STEADY,
2026-02-09,Los Angeles,200,Mexico,BASE,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-09,Los Angeles,200,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET STEADY,
2026-02-09,Los Angeles,230,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET STEADY,
2026-02-09,Los Angeles,230,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET STEADY,
2026-02-09,Los Angeles,230,Mexico,BASE,40.0,42.0,,,42.0,MARKET STEADY,
2026-02-10,Los Angeles,110,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET STEADY,
2026-02-10,Los Angeles,150,Mexico,Fair Quality,35.0,38.0,,,38.0,MARKET STEADY,
2026-02-10,Los Angeles,150,Mexico,Fine Appearance,43.0,45.0,,,45.0,MARKET STEADY,
