date,market,size,origin,quality_type,low_price,high_price,mostly_low_price,mostly_high_price,official_price,market_tone,reporter_comment
2026-02-02,Miami,110,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-02,Miami,150,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-02,Miami,175,Mexico,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-02,Miami,175,Peru,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-02,Miami,200,Mexico,BASE,32.0,32.0,,,32.0,MARKET ABOUT STEADY,occasional higher
2026-02-02,Miami,200,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-02,Miami,230,Colombia,BASE,28.0,32.0,,,32.0,MARKET ABOUT STEADY,
2026-02-03,Miami,110,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-03,Miami,150,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-03,Miami,175,Mexico,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-03,Miami,175,Peru,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-03,Miami,200,Mexico,BASE,32.0,32.0,,,32.0,MARKET ABOUT STEADY,occasional higher
2026-02-03,Miami,200,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-03,Miami,230,Colombia,BASE,28.0,32.0,,,32.0,MARKET ABOUT STEADY,
2026-02-04,Miami,110,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-04,Miami,150,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-04,Miami,175,Mexico,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-04,Miami,175,Peru,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-04,Miami,200,Mexico,BASE,32.0,32.0,,,32.0,MARKET ABOUT STEADY,occasional higher
2026-02-04,Miami,200,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-04,Miami,230,Colombia,BASE,28.0,32.0,,,32.0,MARKET ABOUT STEADY,
2026-02-05,Miami,110,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-05,Miami,150,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-05,Miami,175,Mexico,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-05,Miami,175,Peru,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-05,Miami,200,Mexico,BASE,32.0,32.0,,,32.0,MARKET ABOUT STEADY,occasional higher
2026-02-05,Miami,200,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-05,Miami,230,Colombia,BASE,28.0,32.0,,,32.0,MARKET ABOUT STEADY,
2026-02-06,Miami,110,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-06,Miami,150,Colombia,BASE,28.0,34.0,30.0,34.0,34.0,MARKET ABOUT STEADY,
2026-02-06,Miami,175,Mexico,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-06,Miami,175,Peru,BASE,32.0,34.0,,,34.0,MARKET ABOUT STEADY,
2026-02-06,Miami,200,Mexico,BASE,32.0,32.0,,,32.0,MARKET ABOUT STEADY,occasional higher
