date,market,size,origin,quality_type,low_price,high_price,mostly_low_price,mostly_high_price,official_price,market_tone,reporter_comment
2026-02-02,New York,110,Honduras,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-02,New York,150,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-02,New York,150,Honduras,Fine Appearance,35.0,35.0,,,35.0,MARKET STEADY,
2026-02-02,New York,150,Honduras,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-02,New York,175,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-02,New York,175,Colombia,BASE,30.0,32.0,,,32.0,MARKET STEADY,
2026-02-02,New York,175,Honduras,Fine Appearance,34.0,35.0,,,35.0,MARKET STEADY,
2026-02-02,New York,200,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-02,New York,200,Colombia,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-02,New York,230,Mexico,BASE,32.0,36.0,34.0,,36.0,MARKET STEADY,
2026-02-03,New York,110,Honduras,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-03,New York,150,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-03,New York,150,Honduras,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-03,New York,150,Honduras,Fine Appearance,35.0,35.0,,,35.0,MARKET STEADY,
2026-02-03,New York,175,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-03,New York,175,Colombia,BASE,30.0,32.0,,,32.0,MARKET STEADY,
2026-02-03,New York,175,Honduras,Fine Appearance,34.0,35.0,,,35.0,MARKET STEADY,
2026-02-03,New York,200,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-03,New York,200,Colombia,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-03,New York,230,Mexico,BASE,32.0,36.0,34.0,,36.0,MARKET STEADY,
2026-02-04,New York,110,Honduras,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-04,New York,150,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-04,New York,150,Honduras,Fine Appearance,35.0,35.0,,,35.0,MARKET STEADY,
2026-02-04,New York,150,Honduras,BASE,30.0,30.0,,,30.0,MARKET STEADY,
2026-02-04,New York,175,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
2026-02-04,New York,175,Colombia,BASE,30.0,32.0,,,32.0,MARKET STEADY,
2026-02-04,New York,175,Honduras,Fine Appearance,34.0,35.0,,,35.0,MARKET STEADY,
2026-02-04,New York,200,Mexico,BASE,34.0,38.0,36.0,,38.0,MARKET STEADY,
