report_date,published_date,market_location_name,district,commodity,var,pkg,size,appearance_raw,quality_proxy,low_price,high_price,mostly_low_price,mostly_high_price,price_mid,market_tone_comments,demand_tone_comments,commodity_comments,report_title,slug_name
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fine Appearance,#1,50.0,55.0,52.0,54.0,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,NO_APPEARANCE,#1.5,40.0,44.0,42.0,42.0,42.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fair Appearance,#2,34.0,38.0,36.0,38.0,37.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fine Appearance,#1,50.0,55.0,52.0,54.0,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,NO_APPEARANCE,#1.5,41.0,44.0,44.0,44.0,44.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fair Appearance,#2,36.0,41.0,38.0,38.0,38.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fine Appearance,#1,50.0,55.0,52.0,54.0,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,NO_APPEARANCE,#1.5,41.0,46.0,44.0,46.0,45.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fair Appearance,#2,36.0,41.0,40.0,40.0,40.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fine Appearance,#1,52.0,56.0,54.0,56.0,55.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,NO_APPEARANCE,#1.5,43.0,48.0,44.0,46.0,45.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fair Appearance,#2,38.0,42.0,40.0,42.0,41.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fine Appearance,#1,51.0,56.0,54.0,56.0,55.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,NO_APPEARANCE,#1.5,43.0,48.0,44.0,46.0,45.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fair Appearance,#2,38.0,42.0,38.0,40.0,39.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,Fine Appearance,#1,50.0,56.0,52.0,54.0,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
