date,published_datetime,market,size,quality,official_price,market_tone,demand_tone,commodity_comments,source_price,source_slug,total_seedless_lb,mx_seedless_lb,colombia_seedless_lb,peru_seedless_lb,truck_seedless_lb,boat_seedless_lb,organic_seedless_lb,pharr_seedless_lb,price_lag_1,price_lag_3,ma_3,price_change_1d,pharr_lag_1,total_movement_lag_1,movement_change_1d,target_1d,target_3d
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,230,#1,55.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,4467506.0,2473158.0,1939621.0,54727.0,2473158.0,1994348.0,57739.0,1945917.0,,,,,,,,56.0,60.0
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,230,#1,56.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,3220544.0,2448343.0,519674.0,225984.0,2448343.0,772201.0,22436.0,2142943.0,55.0,,55.0,1.0,1945917.0,4467506.0,-1246962.0,59.0,61.0
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,230,#1,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,7346814.0,6594124.0,334039.0,275367.0,6646594.0,698548.0,54442.0,5581528.0,56.0,,55.5,3.0,2142943.0,3220544.0,4126270.0,60.0,66.0
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,230,#1,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,7262343.0,6144285.0,638496.0,335104.0,6141942.0,1120401.0,139369.0,5510837.0,59.0,55.0,56.666666666666664,1.0,5581528.0,7346814.0,-84471.0,61.0,66.0
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,230,#1,61.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,4083677.0,2370063.0,1513960.0,156875.0,2323658.0,1760019.0,10696.0,1869046.0,60.0,56.0,58.333333333333336,1.0,5510837.0,7262343.0,-3178666.0,66.0,66.0
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,230,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,3161638.0,1853179.0,1249552.0,56320.0,1807738.0,1353900.0,24717.0,1263542.0,61.0,59.0,60.0,5.0,1869046.0,4083677.0,-922039.0,66.0,66.0
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,230,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,2666663.0,1963723.0,489841.0,113168.0,1869413.0,797250.0,10296.0,1287330.0,66.0,60.0,62.333333333333336,0.0,1263542.0,3161638.0,-494975.0,66.0,66.0
2026-03-11,2026-03-11 16:54:33,US_MCALLEN,230,#1,66.0,Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,6725136.0,5866382.0,305219.0,553535.0,5866382.0,858754.0,196287.0,5043434.0,66.0,61.0,64.33333333333333,0.0,1287330.0,2666663.0,4058473.0,66.0,64.0
2026-03-12,2026-03-12 15:53:32,US_MCALLEN,230,#1,66.0,Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,6763760.0,6134372.0,568914.0,53447.0,6134372.0,629388.0,128502.0,5344277.0,66.0,66.0,66.0,0.0,5043434.0,6725136.0,38624.0,66.0,64.0
2026-03-13,2026-03-13 16:00:24,US_MCALLEN,230,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,3315888.0,1999628.0,1316260.0,0.0,1999628.0,1316260.0,31344.0,1271714.0,66.0,66.0,66.0,0.0,5344277.0,6763760.0,-3447872.0,64.0,
2026-03-16,2026-03-16 16:21:47,US_MCALLEN,230,#1,64.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,2906010.0,1367858.0,1283115.0,216568.0,1238289.0,1667721.0,7172.0,990730.0,66.0,66.0,66.0,-2.0,1271714.0,3315888.0,-409878.0,64.0,
2026-03-17,2026-03-17 16:13:52,US_MCALLEN,230,#1,64.0,"110-200s slightly higher, others slightly lower","110-175s Good, 200s moderate, others fairly light",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,64.0,66.0,65.33333333333333,0.0,990730.0,2906010.0,,,
