date,published_datetime,market,size,quality,official_price,market_tone,demand_tone,commodity_comments,source_price,source_slug,mx_truck_seedless_lb,mx_boat_seedless_lb,cb_boat_seedless_lb,pe_boat_seedless_lb,other_seedless_lb,organic_mx_truck_seedless_lb,total_seedless_lb,total_seedless_loads,price_lag_1,price_lag_3,ma_3,price_change_1d,movement_lag_1,movement_change_1d,target_1d,target_3d
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,230,#1,55.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,,,,,,,56.0,60.0
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,230,#1,56.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,55.0,,55.0,1.0,,,59.0,61.0
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,230,#1,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,56.0,,55.5,3.0,,,60.0,66.0
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,230,#1,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,59.0,55.0,56.666666666666664,1.0,,,61.0,66.0
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,230,#1,61.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,60.0,56.0,58.333333333333336,1.0,,,66.0,66.0
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,230,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,61.0,59.0,60.0,5.0,,,66.0,66.0
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,230,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,66.0,60.0,62.333333333333336,0.0,,,66.0,66.0
2026-03-11,2026-03-11 16:54:33,US_MCALLEN,230,#1,66.0,Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,66.0,61.0,64.33333333333333,0.0,,,66.0,64.0
2026-03-12,2026-03-12 15:53:32,US_MCALLEN,230,#1,66.0,Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,66.0,66.0,66.0,0.0,,,66.0,64.0
2026-03-13,2026-03-13 16:00:24,US_MCALLEN,230,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,66.0,66.0,66.0,0.0,,,64.0,
2026-03-16,2026-03-16 16:21:47,US_MCALLEN,230,#1,64.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,1231117.0,129569.0,1283115.0,216568.0,38469.0,7172.0,2906010.0,291.0,66.0,66.0,66.0,-2.0,,,64.0,
2026-03-17,2026-03-17 16:13:52,US_MCALLEN,230,#1,64.0,"110-200s slightly higher, others slightly lower","110-175s Good, 200s moderate, others fairly light",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,,64.0,66.0,65.33333333333333,0.0,2906010.0,,,
