date,published_datetime,market,size,quality,official_price,market_tone,demand_tone,commodity_comments,source_price,source_slug,mx_truck_seedless_lb,mx_boat_seedless_lb,cb_boat_seedless_lb,pe_boat_seedless_lb,other_seedless_lb,organic_mx_truck_seedless_lb,total_seedless_lb,total_seedless_loads
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,110,#1,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,110,#1.5,42.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,110,#2,37.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,150,#1,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,150,#1.5,44.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,150,#2,38.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,175,#1,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,175,#1.5,45.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,175,#2,40.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,200,#1,55.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,200,#1.5,45.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,200,#2,41.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,230,#1,55.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,230,#1.5,45.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,230,#2,39.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,250,#1,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,250,#1.5,43.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,250,#2,40.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,110,#1,54.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,110,#1.5,43.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,110,#2,38.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,150,#1,54.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,150,#1.5,45.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,150,#2,39.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,175,#1,54.5,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,175,#1.5,46.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,175,#2,41.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,200,#1,56.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,200,#1.5,46.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,200,#2,42.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,230,#1,56.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
