date,published_datetime,market,source_price,report_title
2026-03-13,2026-03-13 16:00:24,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-12,2026-03-12 15:53:32,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-11,2026-03-11 16:54:33,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-03-02,2026-03-02 16:29:00,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-27,2026-02-27 15:26:48,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-26,2026-02-26 15:53:50,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-25,2026-02-25 15:50:33,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-24,2026-02-24 15:50:47,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-23,2026-02-23 15:57:13,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-20,2026-02-20 14:41:01,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-19,2026-02-19 14:55:33,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-18,2026-02-18 14:53:23,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-17,2026-02-17 15:20:43,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-13,2026-02-13 15:17:49,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-12,2026-02-12 15:24:35,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-11,2026-02-11 15:24:24,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-10,2026-02-10 15:17:47,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-09,2026-02-09 15:03:38,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-06,2026-02-06 14:55:53,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-05,2026-02-05 15:05:09,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-04,2026-02-04 15:38:49,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-03,2026-02-03 15:33:04,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-02-02,2026-02-02 15:20:12,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-30,2026-01-30 15:15:19,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-29,2026-01-29 15:53:30,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-28,2026-01-28 15:08:52,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-27,2026-01-27 15:47:17,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-26,2026-01-26 15:11:34,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-23,2026-01-23 15:07:54,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-22,2026-01-22 15:49:40,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-21,2026-01-21 15:25:22,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-20,2026-01-20 16:03:53,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-16,2026-01-16 14:45:58,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-15,2026-01-15 15:31:26,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-14,2026-01-14 15:23:29,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-13,2026-01-13 15:33:38,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-12,2026-01-12 15:49:41,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-09,2026-01-09 14:39:48,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-08,2026-01-08 15:20:09,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-07,2026-01-07 15:45:08,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-06,2026-01-06 15:42:08,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-05,2026-01-05 15:47:30,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2026-01-02,2026-01-02 14:34:14,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-31,2025-12-31 16:33:22,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-30,2025-12-30 15:18:01,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-29,2025-12-29 15:46:23,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-23,2025-12-23 14:55:44,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-22,2025-12-22 15:07:34,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-19,2025-12-19 15:03:16,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-18,2025-12-18 15:52:19,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
2025-12-17,2025-12-17 16:09:09,US_MCALLEN,USDA,Phoenix Shipping Point Fruit Prices (IX_FV110)
